"","V1","V2","V3","V4","V5","V6"
"1","ONDA01180, Baseline, Tk.F01-TrtA, Fish, 1, Liver","ONDA01180, Baseline, Tk.F01-TrtA, Fish, 4, Liver","ONDA01180, Baseline, Tk.F02-TrtA, Fish, 3, Liver","ONDA01180, Baseline, Tk.F03-TrtB, Fish, 2, Liver","ONDA01180, Baseline, Tk.F04-TrtB, Fish, 1, Liver","ONDA01180, Baseline, Tk.F04-TrtB, Fish, 4, Liver"
"2","ONDA01180, Baseline, Tk.F01-TrtA, Fish, 1, Spleen","ONDA01180, Baseline, Tk.F01-TrtA, Fish, 4, Spleen","ONDA01180, Baseline, Tk.F02-TrtA, Fish, 3, Spleen","ONDA01180, Baseline, Tk.F03-TrtB, Fish, 2, Spleen","ONDA01180, Baseline, Tk.F04-TrtB, Fish, 1, Spleen","ONDA01180, Baseline, Tk.F04-TrtB, Fish, 4, Spleen"
"3","ONDA01180, Baseline, Tk.F01-TrtA, Fish, 2, Liver","ONDA01180, Baseline, Tk.F02-TrtA, Fish, 1, Liver","ONDA01180, Baseline, Tk.F02-TrtA, Fish, 4, Liver","ONDA01180, Baseline, Tk.F03-TrtB, Fish, 3, Liver","ONDA01180, Baseline, Tk.F04-TrtB, Fish, 2, Liver","ONDA01180, Baseline, Tk.F01-TrtA, Fish, 1, Liver"
"4","ONDA01180, Baseline, Tk.F01-TrtA, Fish, 2, Spleen","ONDA01180, Baseline, Tk.F02-TrtA, Fish, 1, Spleen","ONDA01180, Baseline, Tk.F02-TrtA, Fish, 4, Spleen","ONDA01180, Baseline, Tk.F03-TrtB, Fish, 3, Spleen","ONDA01180, Baseline, Tk.F04-TrtB, Fish, 2, Spleen","ONDA01180, Baseline, Tk.F01-TrtA, Fish, 1, Spleen"
"5","ONDA01180, Baseline, Tk.F01-TrtA, Fish, 3, Liver","ONDA01180, Baseline, Tk.F02-TrtA, Fish, 2, Liver","ONDA01180, Baseline, Tk.F03-TrtB, Fish, 1, Liver","ONDA01180, Baseline, Tk.F03-TrtB, Fish, 4, Liver","ONDA01180, Baseline, Tk.F04-TrtB, Fish, 3, Liver","ONDA01180, Baseline, Tk.F01-TrtA, Fish, 2, Liver"
"6","ONDA01180, Baseline, Tk.F01-TrtA, Fish, 3, Spleen","ONDA01180, Baseline, Tk.F02-TrtA, Fish, 2, Spleen","ONDA01180, Baseline, Tk.F03-TrtB, Fish, 1, Spleen","ONDA01180, Baseline, Tk.F03-TrtB, Fish, 4, Spleen","ONDA01180, Baseline, Tk.F04-TrtB, Fish, 3, Spleen","ONDA01180, Baseline, Tk.F01-TrtA, Fish, 2, Spleen"
