"","starting_date","ending_date","Tank.ID","TTE","A","B","C","D"
"1",NA,NA,"C14",27,"1","","",""
"2",NA,NA,"C14",30,"1","","",""
"3",NA,NA,"C14",31,"1","","",""
"4",NA,NA,"C14",32,"1","","",""
"5",NA,NA,"C14",33,"1","","",""
"6",NA,NA,"C14",34,"1","","",""
"7",NA,NA,"C14",35,"1","","",""
"8",NA,NA,"C14",36,"1","","",""
"9",NA,NA,"C14",36,"1","","",""
"10",NA,NA,"C14",36,"1","","",""
"11",NA,NA,"C14",36,"1","","",""
"12",NA,NA,"C14",37,"1","","",""
"13",NA,NA,"C14",37,"1","","",""
"14",NA,NA,"C14",37,"1","","",""
"15",NA,NA,"C14",37,"1","","",""
"16",NA,NA,"C14",38,"1","","",""
"17",NA,NA,"C14",38,"1","","",""
"18",NA,NA,"C14",39,"1","","",""
"19",NA,NA,"C14",39,"1","","",""
"20",NA,NA,"C14",39,"1","","",""
"21",NA,NA,"C14",40,"1","","",""
"22",NA,NA,"C14",40,"1","","",""
"23",NA,NA,"C14",41,"1","","",""
"24",NA,NA,"C14",41,"1","","",""
"25",NA,NA,"C14",43,"1","","",""
"26",NA,NA,"C14",45,"1","","",""
"27",NA,NA,"C14",45,"1","","",""
"28",NA,NA,"C14",45,"1","","",""
"29",NA,NA,"C14",47,"1","","",""
"30",NA,NA,"C14",47,"1","","",""
"31",NA,NA,"C14",47,"1","","",""
"32",NA,NA,"C14",48,"1","","",""
"33",NA,NA,"C14",48,"1","","",""
"34",NA,NA,"C14",49,"1","","",""
"35",NA,NA,"C14",50,"1","","",""
"36",NA,NA,"C14",54,"0","","",""
"37",NA,NA,"C14",54,"0","","",""
"38",NA,NA,"C14",54,"0","","",""
"39",NA,NA,"C14",54,"0","","",""
"40",NA,NA,"C14",54,"0","","",""
"41",NA,NA,"C14",54,"0","","",""
"42",NA,NA,"C14",54,"0","","",""
"43",NA,NA,"C14",54,"0","","",""
"44",NA,NA,"C14",54,"0","","",""
"45",NA,NA,"C14",54,"0","","",""
"46",NA,NA,"C14",54,"0","","",""
"47",NA,NA,"C14",54,"0","","",""
"48",NA,NA,"C14",54,"0","","",""
"49",NA,NA,"C14",54,"0","","",""
"50",NA,NA,"C14",54,"0","","",""
"51",NA,NA,"C14",54,"0","","",""
"52",NA,NA,"C14",54,"0","","",""
"53",NA,NA,"C14",54,"0","","",""
"54",NA,NA,"C14",54,"0","","",""
"55",NA,NA,"C14",54,"0","","",""
"56",NA,NA,"C14",54,"0","","",""
"57",NA,NA,"C14",54,"0","","",""
"58",NA,NA,"C14",54,"0","","",""
"59",NA,NA,"C14",54,"0","","",""
"60",NA,NA,"C14",54,"0","","",""
"61",NA,NA,"C14",54,"0","","",""
"62",NA,NA,"C14",54,"0","","",""
"63",NA,NA,"C14",54,"0","","",""
"64",NA,NA,"C14",54,"0","","",""
"65",NA,NA,"C14",54,"0","","",""
"66",NA,NA,"C14",54,"0","","",""
"67",NA,NA,"C14",54,"0","","",""
"68",NA,NA,"C14",54,"0","","",""
"69",NA,NA,"C14",54,"0","","",""
"70",NA,NA,"C14",54,"0","","",""
"71",NA,NA,"C14",54,"0","","",""
"72",NA,NA,"C14",54,"0","","",""
"73",NA,NA,"C14",54,"0","","",""
"74",NA,NA,"C14",54,"0","","",""
"75",NA,NA,"C14",54,"0","","",""
"76",NA,NA,"C14",54,"0","","",""
"77",NA,NA,"C14",54,"0","","",""
"78",NA,NA,"C14",54,"0","","",""
"79",NA,NA,"C14",54,"0","","",""
"80",NA,NA,"C14",54,"0","","",""
"81",NA,NA,"C14",54,"0","","",""
"82",NA,NA,"C14",54,"0","","",""
"83",NA,NA,"C14",54,"0","","",""
"84",NA,NA,"C14",54,"0","","",""
"85",NA,NA,"C14",54,"0","","",""
